idPoksi	kodepoksi	idUnit	namapoksi
71	52200	90	Mengorganisasikan dan mengkoordinasikan aktivitas catatan akuntansi keuangan yang berkaitan dengan catatan akuntansi atas hak dan kewajiban perusahaan, mengendalikan dan mengevaluasi proses pengeluaran uang perusahaan serta menjamin ketepatan waktu penerbitan General Ledger untuk penerbitan laporan keuangan perusahaan, laporan keuangan konsolidasi, laporan keuangan konstruksi, mempercepat proses pembayaran klaim
72	5370001	91	Mendapatkan sumber pembiayaan proyek investasi strategis yg paling kompetitif, pd tingkat biaya ygdpt diterima, dgn pertimbangan kewajiban & risiko yg sdh diperhitungkan
73	5370002	91	Melaksanakan atau memfasilitasi keperluan pelaksanaan pembangunan proyek strategis baik Revitalisasi Pabrik maupun Pembangunan Pabrik baru dengan mendatangkan Kreditur dari Dalan maupun Luar Negeri untuk Pembiayaannya 
74	53600	92	Mengorganisasikan dan mengkoordinasikan aktivitas kredit dan penagihan yang meliputi pengendalian pelaksanaan penagihan, pemberian kredit, jaminan dan L/C, analisis kredit  dengan mengevaluasi performansi kredit customer, menentukan Rating Customer dan mereview TOP untuk meningkakan optimalisasi pengendalian jaminan
75	53500	93	Mengorganisasikan dan mengkoordinasikan kegiatan pembayaran gaji Direksi/ Dekom/karyawan dan pembayaran biaya rutin untuk keperluan karyawan PT. Krakatau Steel yang berlokasi di Jakarta, serta mengkoordinir piutang macet, melakukan pencatatan dan penyimpanan dokumen asset yang berlokasi di Jakarta
76	53400	94	Mengorganisasikan dan mengkoordinasikan kegiatan yang berhubungan dengan kewajiban pajak perusahaan, asuransi perusahaan, bea-bea impor dan faktur tagihan sesuai dengan kebutuhan perusahaan dan peraturan perundangan yang berlaku
77	53300	95	Mengorganisasikan, mengkoordinasikan dan mengadministrasikan serta mengendalikan masalah-masalah yang timbul dari transaksi penerimaan dan pengeluaran dana perusahaan meliputi ; transaksi pembukaan dan pembayaran L/C impor, menerbitkan laporan-laporan pokok operasi pendanaan
78	53200	96	Mengendalikan dan mengkoordinasikan kegiatan-kegiatan untuk mendapatkan sumber pembiayaan modal kerja, untuk menjamin dan mengoptimalkan pengelolaan dana dengan tingkat resiko yang dapat diterima
79	54200	97	Mengorganisasikan dan mengkoordinasikan kegiatan pembinaan bisnis, sistem manajemen, mengevaluasi keselasaran rencana kerja tahunan, menganalisis dan mengevaluasi kinerja keuangan dan operasional termasuk mendukung proses penyusunan laporan keuangan konsolidasi KS-Group dengan menyediakan data laporan keuangan seluruh anak perusahaan ke dalam system SAP/R3 (ECCS) dan perusahaan patungan Bidang Jasa agar kinerja investasi di anak perusahaan dan perusahaan patungan bidang jasa optimal
80	54300	98	Mengorganisasikan dan mengkoordinasikan kegiatan pembinaan bisnis, sistem manajemen, mengevaluasi keselasaran rencana kerja tahunan, menganalisis dan mengevaluasi kinerja keuangan dan operasional termasuk mendukung proses penyusunan laporan keuangan konsolidasi KS-Group dengan menyediakan data laporan keuangan seluruh anak perusahaan ke dalam system SAP/R3 (ECCS) dan perusahaan patungan Bidang Manufaktur agar kinerja investasi di anak perusahaan dan perusahaan patungan bidang manufaktur optimal
81	55400	99	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program kegiatan pengkajian teknis maupun ekonomis pemilihan teknologi informasi yang tepat sebagai dasar pengembangan bisnis perusahaan maupun peningkatan efisiensi cost performance pada fasilitas produksi bisnis proses yang ada pada saat ini serta mengelola sistem manajemen krakatau steel berbasis sistem informasi, untuk menjamin pengembangan sistem informasi dapat mengikuti pengembagan bisnis maupun peningkatan efisiensi existing facilities
82	55300	100	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program kegiatan perencanaan teknologi otomasi proses yang terintegrasi dengan Master Plan IT, menyusun dan mereview rencana jangka panjang, jangka menengah dan jangka pendek termasuk action plan pengembangan otomasi proses, mengelola kegiatan pengembangan aplikasi, sistem dan infrastruktur yang berkaitan dengan otomasi proses, menjamin tersedianya teknologi otomasi proses yang siap pakai, aplikatif dan mampu menjawab tuntutan organisasi
83	60200	101	Mengorganisasikan dan mengkoordinir kegiatan Program Kemitraan dan Bina Lingkungan untuk memberdayakan dan mengembangkan kondisi sosial ekonomi masyarakat dan lingkungan sekitarnya serta menjalin hubungan yang harmonis dengan masyarakat maupun pemerintah daerah dan mengkoordinasikan aktivitas Community Development dengan Corporate Communication dalam rangka menciptakan citra positif perusahaan dan berkontribusi terhadap tingkat kesehatan Perusahaan
84	62200	102	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perancangan organisasi, evaluasi jabatan, penyiapan uraian dan profil jabatan, penyusunan jalur karir, pengelolaan otorisasi pengguna SAP/R3, perencanaan dan pengendalian modal insani (human capital planning) dan biaya tenaga kerja, monitoring dan evaluasi penggunaan tenaga kerja kontrak/outsourcing berbasis labour supply, laporan periodik perencanaan modal insani serta perencanaan kebutuhan alat/tempat kerja pendukung pelaksana jabatan
85	62300	103	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perumusan, penyusunan dan perancangan kebijakan dan sistem peningkatan kualitas modal insani yang akan menjadi  dasar dan acuan dalam usaha memiliki modal insani yang memiliki kompetensi yang telah dipersyaratkan melalui kegiatan seleksi untuk rekrutmen karyawan, perencanaan suksesi karyawan; Talent Management termasuk pengembangan Assessment Center
86	62301	103	cc
87	6230101	104	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan rancangan struktur organisasi, program pengembangan & peningkatan kualitas modan insani, talent management dan pelaksanaan pendidikan & pelatihan sesuai visi dan strategi bisnis korporasi jangka pendek dan jangka panjang.
88	6350101	105	'Melakukan program pelatihan dan internal expert  
89	63500	106	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan pengamanan di kawasan industri PT. Krakatau Steel berbasis sistem manajemen pengamanan, untuk mencegah dan mengatasi ancaman, gangguan, hambatan dan  tantangan (AGHT), perencanaan dan pengendalian kebutuhan dan pengawasan pelaksanaan jasa outsourcing keamanan
90	63400	107	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan pelayanan, pemeliharaan, pengawasan dan utilisasi terhadap barang-barang bergerak meliputi mesin kantor, alat kantor dan kendaraan utility serta barang-barang tidak bergerak meliputi ; gedung/perkantoran, rumah dinas, tanah dan arsip agar semua asset perusahaan terpelihara dan terutilisasi dengan baik sehingga aktivitas perusahaan berjalan dengan lancar dan dapat memberikan nilai tambah bagi perusahaan, perencanaan dan pengendalian kebutuhan dan pengawasan pelaksanaan jasa outsourcing kebersihan
91	63300	108	Mengorganisasikan dan mengkoordinasikan pelaksanaan penerapan kebijakan (policy) serta ketentuan peraturan & perundangan bidang ketenagakerjaan, pemberian pelayanan administratif kepada karyawan dan Pembinaan Hubungan Kekaryawanan termasuk dengan serikat karyawan, penanganan kasus-kasus hubungan kerja dan keluhan-keluhan karyawan, administrasi kekaryawanan, administrasi penggajian, peningkatan kesehatan kerja karyawan, Jamsostek dan Program Kesejahteraan lainnya
92	63200	109	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perancangan, pengembangan dan pemeliharaan kebijakan, sistem dan simulasi remunerasi (Compensastion & Benefit), kegiatan performance management, termasuk pengukuran kinerja berbasis MBNQA kriteria dan pengembangan program peningkatan kinerja modal insani
93	70200	110	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan penyusunan project charter, pengaturan resources yang akan dialokasikan ke proyek-proyek pengembangan dan pembangunan yang akan dilaksanakan, melakukan monitoring, pengawasan dan evaluasi pelaksanaan proyek serta pelaporan progress masing-masing  proyek pengembangan dan bertindak sebagai project management office (PMO) serta menjadi Direksi pekerjaan sesuai ketentuan yang diatur dalam prosedur untuk seluruh proyek, program strategis perusahaan dan Anak perusahaan / perusahaan patungan yang terkait dengan proyek pengembangan PT. Krakatau Steel (Persero) Tbk
94	72400	112	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan kegiatan pengelolaan energi dan sumber daya untuk memastikan ketersediaan dan pengelolaan energi dan sumber daya secara optimal untuk menunjang tercapainya target-target produksi yang telah ditetapkan
95	72300	113	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan pelayanan riset yang meliputi pengujian material, pengelolaan dan pengoperasian peralatan laboratorium pengujian material, uji simulasi serta publikasi dan pengelolaan informasi teknologi
96	72200	114	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan evaluasi kehandalan teknologi proses  fasilitas existing, pengkajian teknis maupun ekonomis, penggantian atau pemilihan teknologi yang tepat dan pengembangan proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja sebagai dasar pengembangan bisnis perusahaan maupun peningkatan efisiensi cost performance pada fasilitas produksi yang ada pada saat ini, menyiapkan Term of Reference dan perhitungan aspek-aspek teknis lainnya atas teknologi dan pengembangan proses terpilih untuk pengembangan bisnis maupun peningkatan efisiensi existing facilities
97	73200	115	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perencanaan strategis perusahaan; penyusunan/evaluasi study kelayakan proyek strategis (non rutin), evaluasi study kelayakan proyek non strategis (rutin), penyusunan usulan prioritas proyek untuk dimasukan ke dalam RKAP, dan pengintegrasian rencana jangka panjang korporasi (KS Grup). 
98	73300	116	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program & kegiatan  penyusunan jadwal realisasi / work break structure (wbs), penyiapan dokumen realisasi anggaran proyek, penyiapan dokumen dokumen tender (volume 2 dan volume 3),  penyiapan instruksi tender dan pembuatan kontrak, melakukan kontrol anggaran proyek, serta memastikan dan memutahirkan master data project, khususnya project multi year, untuk penyusunan RKAP
99	74200	117	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan mengintegrasikan pelaksanaan  operasional proyek Blast Furnace yang meliputi : Blast Furnace Plant, Sinter Plant, Coke Oven Plant, IEA & MIS, Material Handling, HMTP & Interfacing dan General Facilities sehingga pelaksanaan proyek dapat memenuhi tujuan Program Blast Furnace Complex  sesuai dengan Blast Furnace Complec Project Charter
