idPoksi	kodepoksi	idUnit	namapoksi	idPerusahaan	creator	modifier	tgl_creator	tgl_modifier
65	54000	22	Merencanakan dan mengendalikan kegiatan pembinaan bisnis, sistem manajemen, penyelarasan rencana kerja tahunan, evaluasi kinerja keuangan dan operasional anak perusahaan dan perusahaan patungan termasuk laporan konsolidasi KS-Group agar kinerja investasi di anak perusahaan dan perusahaan patungan optimal	KS	1		2013-08-15 06:46:51	
66	54200	78	Mengorganisasikan dan mengkoordinasikan kegiatan pembinaan bisnis, sistem manajemen, mengevaluasi keselasaran rencana kerja tahunan, menganalisis dan mengevaluasi kinerja keuangan dan operasional termasuk mendukung proses penyusunan laporan keuangan konsolidasi KS-Group dengan menyediakan data laporan keuangan seluruh anak perusahaan ke dalam system SAP/R3 (ECCS) dan perusahaan patungan Bidang Jasa agar kinerja investasi di anak perusahaan dan perusahaan patungan bidang jasa optimal	KS	1		2013-08-15 06:47:16	
67	54300	79	Mengorganisasikan dan mengkoordinasikan kegiatan pembinaan bisnis, sistem manajemen, mengevaluasi keselasaran rencana kerja tahunan, menganalisis dan mengevaluasi kinerja keuangan dan operasional termasuk mendukung proses penyusunan laporan keuangan konsolidasi KS-Group dengan menyediakan data laporan keuangan seluruh anak perusahaan ke dalam system SAP/R3 (ECCS) dan perusahaan patungan Bidang Manufaktur agar kinerja investasi di anak perusahaan dan perusahaan patungan bidang manufaktur optimal	KS	1		2013-08-15 06:48:08	
68	55000	23	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan (policy) dan program perencanaan dan pengendalian pelayanan Sistem Informasi ( IT Services Planning & Control), Perencanaan Teknologi Otomasi Proses terintegrasi dengan strategi perusahaan dan master plan IT, Peningkatan efisiensi cost performance melalui bisnis proses dan pengelolaan Sistem Manajemen Krakatau Steel, untuk menjamin pelayanan Sistem Informasi Perencanaan Teknologi Otomasi Proses dan Perencanaan Bisnis Proses selaras dengan strategi bisnis perusahaan	KS	1		2013-08-15 06:48:37	
69	55300	94	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program kegiatan perencanaan teknologi otomasi proses yang terintegrasi dengan Master Plan IT, menyusun dan mereview rencana jangka panjang, jangka menengah dan jangka pendek termasuk action plan pengembangan otomasi proses, mengelola kegiatan pengembangan aplikasi, sistem dan infrastruktur yang berkaitan dengan otomasi proses, menjamin tersedianya teknologi otomasi proses yang siap pakai, aplikatif dan mampu menjawab tuntutan organisasi	KS	1		2013-08-15 06:49:58	
70	55400	95	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program kegiatan pengkajian teknis maupun ekonomis pemilihan teknologi informasi yang tepat sebagai dasar pengembangan bisnis perusahaan maupun peningkatan efisiensi cost performance pada fasilitas produksi bisnis proses yang ada pada saat ini serta mengelola sistem manajemen krakatau steel berbasis sistem informasi, untuk menjamin pengembangan sistem informasi dapat mengikuti pengembagan bisnis maupun peningkatan efisiensi existing facilities	KS	1		2013-08-15 06:50:15	
71	60000	6	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan pengelolaan modal insani dalam rangka menghasilkan modal insani dengan jumlah yang tepat, kinerja dan produktivitas yang tinggi, pada setiap tingkatan organisasi untuk menciptakan nilai tambah bagi perusahaan sesuai dengan ketentuan peraturan per-undangan yang berlaku serta memastikan bahwa program kemitraan & bina lingkungan, pengelolalan keamanan perusahaan, pengelolaaan asset perusahaan berjalan secara efektif dan efisien	KS	1		2013-08-15 06:50:33	
72	60200	80	Mengorganisasikan dan mengkoordinir kegiatan Program Kemitraan dan Bina Lingkungan untuk memberdayakan dan mengembangkan kondisi sosial ekonomi masyarakat dan lingkungan sekitarnya serta menjalin hubungan yang harmonis dengan masyarakat maupun pemerintah daerah dan mengkoordinasikan aktivitas Community Development dengan Corporate Communication dalam rangka menciptakan citra positif perusahaan dan berkontribusi terhadap tingkat kesehatan Perusahaan	KS	1		2013-08-15 06:50:51	
73	62000	25	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan rancangan struktur organisasi, program pengembangan & peningkatan kualitas modal insani, talent management dan pelaksanaan pendidikan & pelatihan sesuai visi dan strategi bisnis korporasi jangka pendek dan jangka panjang	KS	1		2013-08-15 06:51:15	
74	62200	96	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perancangan organisasi, evaluasi jabatan, penyiapan uraian dan profil jabatan, penyusunan jalur karir, pengelolaan otorisasi pengguna SAP/R3, perencanaan dan pengendalian modal insani (human capital planning) dan biaya tenaga kerja, monitoring dan evaluasi penggunaan tenaga kerja kontrak/outsourcing berbasis labour supply, laporan periodik perencanaan modal insani serta perencanaan kebutuhan alat/tempat kerja pendukung pelaksana jabatan	KS	1		2013-08-15 06:51:34	
75	62300	97	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perumusan, penyusunan dan perancangan kebijakan dan sistem peningkatan kualitas modal insani yang akan menjadi  dasar dan acuan dalam usaha memiliki modal insani yang memiliki kompetensi yang telah dipersyaratkan melalui kegiatan seleksi untuk rekrutmen karyawan, perencanaan suksesi karyawan; Talent Management termasuk pengembangan Assessment Center	KS	1		2013-08-15 06:51:52	
76	63000	26	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan (Policy) dalam bidang pemeliharaan, pembinaan & pengintegrasian modal insani yang dimiliki perusahaan, perancangan kebijakan dan sistem remunerasi karyawan, sistem manajemen berbasis MBNQA, sistem administrasi & informasi kekaryawanan, pengelolaan pengamanan perusahaan, pengaturan kendaraan dinas & angkutan karyawan, pengelolaan fasilitas umum, perencanaan dan pengendalian kebutuhan jasa outsourcing kebersihan dan keamanan untuk memastikan setiap aktivitas berjalan efektif & efisien	KS	1		2013-08-15 06:52:30	
77	63200	81	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perancangan, pengembangan dan pemeliharaan kebijakan, sistem dan simulasi remunerasi (Compensastion & Benefit), kegiatan performance management, termasuk pengukuran kinerja berbasis MBNQA kriteria dan pengembangan program peningkatan kinerja modal insani	KS	1		2013-08-15 06:52:47	
78	63300	82	Mengorganisasikan dan mengkoordinasikan pelaksanaan penerapan kebijakan (policy) serta ketentuan peraturan & perundangan bidang ketenagakerjaan, pemberian pelayanan administratif kepada karyawan dan Pembinaan Hubungan Kekaryawanan termasuk dengan serikat karyawan, penanganan kasus-kasus hubungan kerja dan keluhan-keluhan karyawan, administrasi kekaryawanan, administrasi penggajian, peningkatan kesehatan kerja karyawan, Jamsostek dan Program Kesejahteraan lainnya	KS	1		2013-08-15 06:53:07	
79	63400	83	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan pelayanan, pemeliharaan, pengawasan dan utilisasi terhadap barang-barang bergerak meliputi mesin kantor, alat kantor dan kendaraan utility serta barang-barang tidak bergerak meliputi ; gedung/perkantoran, rumah dinas, tanah dan arsip agar semua asset perusahaan terpelihara dan terutilisasi dengan baik sehingga aktivitas perusahaan berjalan dengan lancar dan dapat memberikan nilai tambah bagi perusahaan, perencanaan dan pengendalian kebutuhan dan pengawasan pelaksanaan jasa outsourcing kebersihan	KS	1		2013-08-15 06:53:22	
80	63500	84	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan pengamanan di kawasan industri PT. Krakatau Steel berbasis sistem manajemen pengamanan, untuk mencegah dan mengatasi ancaman, gangguan, hambatan dan  tantangan (AGHT), perencanaan dan pengendalian kebutuhan dan pengawasan pelaksanaan jasa outsourcing keamanan	KS	1		2013-08-15 06:53:45	
81	70000	7	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan-kebijakan dalam rangka mendukung kegiatan perencanaan dan pengembangan usaha, pengelolaan proyek-proyek strategis, evaluasi dan perencanaan teknologi serta bekerja sama secara langsung dengan CEO dalam melakukan evaluasi keberhasilan Proyek Strategis dan mengkoordinasikan, mengintegrasikan fungsi-fungsi Sub Direktorat Research & Technology, Sub Direktorat Corporate Planning & Business Developement, Sub Direktorat Blast Furnace dan Divisi Project Manajemen, untuk menjamin pencapaian sasaran strategis perusahaan serta bertindak sebagai integrator perencanaan proyek pengembangan Anak Perusahaan / Perusahaan Patungan  yang terkait dengan pengembangan PT. Krakatau Steel (Persero) Tbk	KS	1		2013-08-15 06:54:14	
82	70200	100	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan penyusunan project charter, pengaturan resources yang akan dialokasikan ke proyek-proyek pengembangan dan pembangunan yang akan dilaksanakan, melakukan monitoring, pengawasan dan evaluasi pelaksanaan proyek serta pelaporan progress masing-masing  proyek pengembangan dan bertindak sebagai project management office (PMO) serta menjadi Direksi pekerjaan sesuai ketentuan yang diatur dalam prosedur untuk seluruh proyek, program strategis perusahaan dan Anak perusahaan / perusahaan patungan yang terkait dengan proyek pengembangan PT. Krakatau Steel (Persero) Tbk	KS	1		2013-08-15 06:54:38	
83	72000	27	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan (policy) dan program dalam bidang riset/pengkajian proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja, penyediaan dan penyiapan sarana dan prasarana riset serta pengkajian dan pemilihan teknologi untuk pengembangan bisnis perusahaan, pengelolaan energi dan pemilihan alternatif energi & sumber daya sesuai rencana tahunan dan rencana jangka panjang perusahaan	KS	1		2013-08-15 06:54:55	
84	72200	86	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan evaluasi kehandalan teknologi proses  fasilitas existing, pengkajian teknis maupun ekonomis, penggantian atau pemilihan teknologi yang tepat dan pengembangan proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja sebagai dasar pengembangan bisnis perusahaan maupun peningkatan efisiensi cost performance pada fasilitas produksi yang ada pada saat ini, menyiapkan Term of Reference dan perhitungan aspek-aspek teknis lainnya atas teknologi dan pengembangan proses terpilih untuk pengembangan bisnis maupun peningkatan efisiensi existing facilities	KS	1		2013-08-15 06:55:15	
85	72300	87	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan pelayanan riset yang meliputi pengujian material, pengelolaan dan pengoperasian peralatan laboratorium pengujian material, uji simulasi serta publikasi dan pengelolaan informasi teknologi	KS	1		2013-08-15 06:55:32	
86	72400	88	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan kegiatan pengelolaan energi dan sumber daya untuk memastikan ketersediaan dan pengelolaan energi dan sumber daya secara optimal untuk menunjang tercapainya target-target produksi yang telah ditetapkan	KS	1		2013-08-15 06:55:47	
87	73000	28	Memikirkan, merumuskan, dan merekomendasikan dan melaksanakan program perencanaan strategis pengembangan bisnis perusahaan jangka panjang,  integrasi rencana kerja dan pengembangan jangka panjang bisnis korporasi (KS Group), pemilihan strategi maupun policy pengembangan bisnis PTKS dan Group, melakukan studi kelayakan proyek pengembangan PTKS yang telah direncanakan dalam RJPP, mengembangan bisnis sinergi dan portofolio investasi korporasi, mengusulkan proyek yang akan dilaksanakan (diimplementasikan) dalam RKAP, dan mengkoordinasikan aktivitas tender proyek pembangunan	KS	1		2013-08-15 06:57:07	
88	73200	89	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program dan kegiatan perencanaan strategis perusahaan; penyusunan/evaluasi study kelayakan proyek strategis (non rutin), evaluasi study kelayakan proyek non strategis (rutin), penyusunan usulan prioritas proyek untuk dimasukan ke dalam RKAP, dan pengintegrasian rencana jangka panjang korporasi (KS Grup). 	KS	1		2013-08-15 06:57:39	
89	73300	90	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program & kegiatan  penyusunan jadwal realisasi / work break structure (wbs), penyiapan dokumen realisasi anggaran proyek, penyiapan dokumen dokumen tender (volume 2 dan volume 3),  penyiapan instruksi tender dan pembuatan kontrak, melakukan kontrol anggaran proyek, serta memastikan dan memutahirkan master data project, khususnya project multi year, untuk penyusunan RKAP	KS	1		2013-08-15 06:57:57	
90	74000	29	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program pengembangan pabrik Blast Furnace Complex agar tujuan pembangunan pabrik Blast Furnace dapat terlaksana secara tepat waktu, tepat kualitas, biaya yang efisien dan dapat dipertanggungjawabkan sesuai dengan prosedur dan ketentuan yang berlaku	KS	1		2013-08-15 06:58:31	
91	74200	91	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan mengintegrasikan pelaksanaan  operasional proyek Blast Furnace yang meliputi : Blast Furnace Plant, Sinter Plant, Coke Oven Plant, IEA & MIS, Material Handling, HMTP & Interfacing dan General Facilities sehingga pelaksanaan proyek dapat memenuhi tujuan Program Blast Furnace Complex  sesuai dengan Blast Furnace Complec Project Charter	KS	1		2013-08-15 06:59:10	
92	1250101	33	Aku sayang kamu	KS	1		2013-10-02 11:27:05	
93	3370101	49	Merencanakan, mengorganisasikan dan memonitor seluruh proses DR Plant dari pengelolaan bahan baku, bahan pembantu, mesi-mesin produksi, peralatan handling dan teknologi proses, serta mengorganisasikan dan merencanakan aktifitas perawatan/perbaikan seluruh peralatan mekanik, listrik, instrument di pabrik Direct Reduction Plant (DR Plant) sesuai target kualitas dan kuantitas yang ditetapkan dengan biaya yang efisien, tepat waktu serta menjaga seluruh fasilitas produksi DR Plant dalam kondidi optimal.	KS	1	7990	2013-09-30 11:30:38	2013-10-01 05:02:12
94	4330101	64	Optimalisasi volume & revenue penjualan wire rod, by product & jasa non core sesuai target yg ditetapkan 	KS	1		2013-10-23 10:15:20	
95	4440101	68	Menjamin produk yang disimpan digudang tidak mengalami kerusakan dan memastikan status mutu produk melalui pemeriksaan secara periodik 	KS	1		2013-09-25 08:03:13	
96	5370001	77	Mendapatkan sumber pembiayaan proyek investasi strategis yg paling kompetitif, pd tingkat biaya ygdpt diterima, dgn pertimbangan kewajiban & risiko yg sdh diperhitungkan	KS	1		2013-09-20 09:58:26	
97	5370002	77	Melaksanakan atau memfasilitasi keperluan pelaksanaan pembangunan proyek strategis baik Revitalisasi Pabrik maupun Pembangunan Pabrik baru dengan mendatangkan Kreditur dari Dalan maupun Luar Negeri untuk Pembiayaannya 	KS	5423		2013-10-29 02:07:42	
98	6230101	98	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan rancangan struktur organisasi, program pengembangan & peningkatan kualitas modan insani, talent management dan pelaksanaan pendidikan & pelatihan sesuai visi dan strategi bisnis korporasi jangka pendek dan jangka panjang.	KS	8655A	8655A	2013-10-09 10:40:05	2013-10-21 07:54:46
99	6350101	85	'Melakukan program pelatihan dan internal expert  	KS	3723		2013-10-28 06:45:41	
